DATE,OPEN,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
14-08-2014,271,279,270,274.1,202505,9308
13-08-2014,283.2,286,267.85,268.2,205213,9381
12-08-2014,282,290,278.75,281.9,223199,8808
11-08-2014,287.1,293,280.4,282.75,222696,10180
08-08-2014,295,298.55,284.7,285.2,211278,9174
07-08-2014,293,302.7,279,299.65,402309,15253
06-08-2014,307.5,312.8,288,290.85,567083,21766
05-08-2014,273.8,302.6,273.8,302.6,811065,29201
04-08-2014,298.7,298.7,288.2,288.2,189273,6345
01-08-2014,312.15,318,303.35,303.35,296178,11071
31-07-2014,325,337.2,312.45,319.3,1085547,32667
30-07-2014,346,350.5,328.85,328.85,252319,8934
28-07-2014,352,363.45,341.3,346.15,390988,16213
25-07-2014,375,384,347.6,352.35,1373679,49156
24-07-2014,342.5,365.75,341.5,365.75,499971,13577
23-07-2014,305.9,332.5,305,332.5,1524505,40783
22-07-2014,280,303.6,280,302.3,1374770,40854
21-07-2014,272.25,288.1,270.5,276,767509,30758
18-07-2014,277.5,278.5,265.1,267.35,329013,12411
17-07-2014,270.1,285.4,270,277.4,780258,27577
16-07-2014,249,268.05,243.35,268.05,1256480,38881
15-07-2014,225,243.7,216.55,243.7,313692,10392
14-07-2014,231.8,232.65,220.5,221.55,101730,4402
11-07-2014,242,247,226.45,228.9,142954,5977
10-07-2014,246,248.45,236.45,241.05,185222,8320
09-07-2014,259,263.9,243,246.15,254456,10204
08-07-2014,260.1,266.8,251.85,255.05,220781,8341
07-07-2014,261.2,265,257.7,259.25,81692,3711
04-07-2014,260.9,264.2,257.55,259.95,125661,4762
03-07-2014,270,271.2,259.8,261.65,83459,3171
02-07-2014,256,268.95,256,268.65,377308,8507
01-07-2014,254,258.5,253.1,256.15,66190,2713
30-06-2014,256,259.85,245,252.2,79610,4125
27-06-2014,261,263.2,253.6,254.45,94508,3892
26-06-2014,260,262.9,257.5,258.1,93469,4290
25-06-2014,258,265.7,257.1,258.65,132596,5955
24-06-2014,257.9,262.8,254.75,256.9,72653,3121
23-06-2014,260.2,265,255.05,256.5,68714,3606
20-06-2014,261,264.25,258,259.85,85741,4456
19-06-2014,265,268,260.05,261.65,59414,2894
18-06-2014,261,271.35,258.05,263.55,226996,9457
17-06-2014,270,274.1,258,260.65,249121,10907
16-06-2014,258.5,268,249.5,264.6,193444,8078
13-06-2014,272.85,276.85,259.25,259.45,130412,4429
12-06-2014,274.3,282.95,270.15,272.85,117019,4345
11-06-2014,279.95,283.8,270,272.3,106017,4044
10-06-2014,281.2,284,275.25,277.25,85181,3191
09-06-2014,277.6,288,277.6,280.9,99352,4618
06-06-2014,272,282.3,271.1,276.75,177918,7687
05-06-2014,271.8,275.9,267,269.95,132897,5859
04-06-2014,263.1,274,261.2,269.95,178289,7123
03-06-2014,263.1,267.9,260.05,262.2,74345,3352
02-06-2014,259.8,271.9,249.55,262.55,195608,8903
30-05-2014,273.9,276,260.1,262.65,151313,6563
29-05-2014,255,267.45,244.5,267.3,383196,9866
28-05-2014,256,264.4,252.4,254.75,127350,5507
27-05-2014,260,263,253.25,254.9,115354,4449
26-05-2014,263.9,269.7,249,256.9,180985,6279
23-05-2014,256.95,256.95,251,256.95,325832,4107
22-05-2014,236,244.75,234,244.75,86799,2741
21-05-2014,244.8,244.8,232,233.1,94201,3545
20-05-2014,234,246.45,230,240.6,148394,5033
19-05-2014,247,247.55,233.1,234.9,156777,5462
16-05-2014,264.95,264.95,245.35,245.35,120373,4267
15-05-2014,259,266.5,255.7,258.25,98254,4177
14-05-2014,256,263.75,256,259.75,143137,5612
13-05-2014,255.5,263,252.7,255.55,172348,6680
12-05-2014,255.1,272,249.8,254.8,544800,20723
09-05-2014,267,272.4,262.9,262.9,133987,3669
08-05-2014,276.7,276.7,276.7,276.7,12479,693
07-05-2014,303.95,314.9,288,291.25,998723,29457
06-05-2014,285,299.95,275,299.95,565827,19666
05-05-2014,302,302,285.7,285.7,139843,5023
02-05-2014,320,325.15,300,300.7,301783,10529
30-04-2014,334,335.7,315.75,315.75,272370,9438
29-04-2014,317,332.5,310,332.35,505946,13354
28-04-2014,327,329.35,315,316.7,152516,6440
25-04-2014,335.1,340,320.1,323.5,307496,11812
23-04-2014,351.05,352.5,332.25,332.75,225127,10098
22-04-2014,358,360,348.1,349.7,123551,5270
21-04-2014,365,367.95,356.6,358.1,168427,7533
17-04-2014,363,363,352.1,354.2,197942,7205
16-04-2014,361.85,364.3,349.6,359.2,262511,10940
15-04-2014,370,374.9,356.35,360.4,340065,13606
11-04-2014,361.75,372.3,357.1,361.95,418397,14368
10-04-2014,356,367.35,352.3,364.7,487708,13370
09-04-2014,352,355.25,342.5,349.9,169429,6505
07-04-2014,362,367,343.4,349.5,176308,6120
04-04-2014,359,366.95,359,361.45,124808,3123
03-04-2014,361,371,355.2,362.45,390925,9615
02-04-2014,368,369.2,353,360,491406,9753
01-04-2014,375,376.75,361.2,363.55,189402,4775
31-03-2014,378.7,382.7,370.25,373.35,203452,5068
28-03-2014,377,381,371.05,375,236936,6405
27-03-2014,374,384,372.4,378.15,260043,6976
26-03-2014,380.7,382.1,365.2,369.7,355699,8772
25-03-2014,358.5,376.25,358.5,376.25,499215,10460
24-03-2014,375,381.45,355,358.35,449585,11800
22-03-2014,375,378,371.6,373.2,109292,2114
21-03-2014,383.8,385.4,368,371.35,317171,6393
20-03-2014,374,387.3,370,377.35,506414,11195
19-03-2014,382.15,389,373.1,375.75,1197442,11901
18-03-2014,357,378.95,357,378.95,344356,10249
14-03-2014,359.5,374.4,359.15,360.95,504924,14089
13-03-2014,396,400,375.45,378,1460128,19995
12-03-2014,374,399,365.1,395.2,1186706,28876
11-03-2014,401,401.8,382.6,382.6,570979,12039
10-03-2014,386,403.6,385.5,402.7,923804,16946
06-03-2014,361.9,370,358.05,370,416877,9572
05-03-2014,338.4,352.4,336.45,352.4,798687,16857
04-03-2014,336,341,332.75,335.65,380607,10116
03-03-2014,333.9,340.9,328.15,334.8,563879,16280
28-02-2014,349,353.2,328.65,332.95,1159873,27981
25-02-2014,326.15,338.8,321.75,338.8,517275,13662
24-02-2014,317.6,334.8,314,322.7,818977,22633
21-02-2014,341.9,352.1,323.6,325.7,918305,23090
19-02-2014,326.2,326.2,318.2,326.2,577567,7447
